read_name,read_len,start_time,barcode,best_reference,ref_len,start_coords,end_coords,num_matches,mapping_len
7db2950a-dc0a-43e8-8528-42157efaccde,512,2021-05-20T12:19:38Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,24708,25076,357,359
cbc45183-4dd1-4c7b-8c2f-52f1f33ef212,499,2021-05-20T12:19:38Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,21356,21744,365,368
7fc92ae8-e943-4dd7-b1d9-522e2168a0cc,485,2021-05-20T12:19:40Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,28400,28782,358,364
efcf6899-4b6b-4397-bcde-fb27b7b61ccd,478,2021-05-20T12:19:40Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,14864,15225,349,357
46c5f3bc-edad-4286-9771-bf5daad3fd42,514,2021-05-20T12:19:42Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,3459,3854,379,390
790c380f-e35c-4a98-9dfe-02ddb7636534,502,2021-05-20T12:19:42Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,11863,12256,380,381
08a5d348-559c-4177-a562-78b59e0a01b1,493,2021-05-20T12:19:44Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,17966,18349,369,374
ab722171-4e25-42cc-b179-98f909382df5,501,2021-05-20T12:19:43Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,12420,12802,376,381
52d62f0e-7319-42f7-8013-3d82c5641842,487,2021-05-20T12:19:43Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,21078,21456,363,369
4c9a594e-c54e-4d13-9e43-5fc1ba85594a,502,2021-05-20T12:19:46Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,12732,13097,349,357
5a0cf62a-2be7-4494-aee8-d1d4274d4d05,517,2021-05-20T12:19:46Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,11863,12256,386,390
5fce8a6b-9205-408b-b1a3-f6953db01b48,506,2021-05-20T12:19:44Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,14207,14601,374,381
3ce3579e-c414-4fdc-82ad-1eaa0a0a39ea,498,2021-05-20T12:19:46Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,12713,13097,374,378
6abd740a-a860-43be-ac87-94e8a36458d4,870,2021-05-20T12:19:45Z,barcode03,?,29904,0,0,368,374
1279b043-a2f5-4833-9980-f00469fb3d72,535,2021-05-20T12:19:46Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,20472,20890,398,409
139d9061-5bee-42dc-8b7a-8afea7a0c327,255,2021-05-20T12:19:49Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,16072,16210,130,132
cf771698-0e8d-4abe-9694-a308b881b598,501,2021-05-20T12:20:02Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,17381,17759,362,369
80a43abe-a9b9-4cfa-b457-6ce68418701c,496,2021-05-20T12:20:04Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,17381,17761,371,376
6b79c2e2-6def-44ad-852d-f23a00ca1df7,514,2021-05-20T12:20:05Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,26835,27223,372,384
93e647fb-bf4d-4421-aff6-f469fdccf384,556,2021-05-20T12:20:05Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,27792,28041,232,239
5464a32c-1eb4-462d-8a91-b7283b5afc32,484,2021-05-20T12:20:06Z,barcode03,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,7942,8290,320,336
